year,section,kind,entry,issue,page,annual_contents_page,column,ocr_source,raw_text,needs_review
1999,НАУКА И ТЕХНИКА. ТЕХНИКА НАШИХ ДНЕЙ,section,НАУКА И ТЕХНИКА. ТЕХНИКА НАШИХ ДНЕЙ,,,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,НАУКА И ТЕХНИКА. ТЕХНИКА НАШИХ ДНЕЙ З,
1999,НАУКА И ТЕХНИКА. ТЕХНИКА НАШИХ ДНЕЙ,article,Радионаблюдения с ИСЗ за предвестниками землетрясений у В Ларин о Е ааа оао. ее OS 3 Законы радиотехники в биологии и КВЧ-терапии. О. Бецкий,1,47,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,Радионаблюдения с ИСЗ за предвестниками землетрясений у В Ларин о Е ааа оао. ее OS 3 Законы радиотехники в биологии и КВЧ-терапии. О. Бецкий....... 1 47 U,
1999,НАУКА И ТЕХНИКА. ТЕХНИКА НАШИХ ДНЕЙ,article,Радиолокация зслероидов и комет. А. Зайцев,11,47,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,Радиолокация зслероидов и комет. А. Зайцев.... -.....-.--...-.--11 47 С,
1999,НАУКА И ТЕХНИКА. ТЕХНИКА НАШИХ ДНЕЙ,unparsed,Российскому радиовещанию - 75 лет. В. Маковеев ое 6 Г. 1 Е,,,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,Российскому радиовещанию - 75 лет. В. Маковеев ое 6 Г. 1 Е,no_issue_page
1999,ВЫСТАВКИ,section,ВЫСТАВКИ,,,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,ВЫСТАВКИ Б,
1999,ВЫСТАВКИ,article,"“Телехом-Мосхва'98”. А. Гороховский, Н. Лыкова. = eos)",6,7,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,"“Телехом-Мосхва'98”. А. Гороховский, Н. Лыкова. = eos), 67",ocr_filler
1999,ВЫСТАВКИ,article,"""Связь-987Казань: НЛькова Мы. ile, cae века",3,68,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,"""Связь-987Казань: НЛькова Мы. ile, cae века 3 68 у",
1999,ВЫСТАВКИ,article,"Выставкив Москве. “Auto Electronics Show'99"". “Российский Н-Еп0'99`",6,15,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,"Выставкив Москве. “Auto Electronics Show'99"". “Российский Н-Еп0'99`.6 15 у",
1999,ВЫСТАВКИ,article,"Формула ззука на “Auto Electronics Show'90"". А. Соколов",2,13,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,"Формула ззука на “Auto Electronics Show'90"". А. Соколов............ 2 13 &£",
1999,ВЫСТАВКИ,article,"`СОМТЕК-99""- мысли после завершения. С. Озеров а",2,3,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,"`СОМТЕК-99""- мысли после завершения. С. Озеров а, 23 У",
1999,ВЫСТАВКИ,article,"Но пороге ХХ; века. Заметки с выставки ""Связь-Экспокомм",9,9,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,"Но пороге ХХ; века. Заметки с выставки ""Связь-Экспокомм-99-. é",
1999,ВЫСТАВКИ,article,"А. Гороховский, Н. Лыкова, М1. Чачин 2 eee ee cece ee eel",6,5,b.1999-12.064,1,.tmp/annual_contents_1999_2000/column_ocr_wide/b.1999-12.064/columns2/merged.prose.psm6.corrected.txt,"А. Гороховский, Н. Лыкова, М1. Чачин 2... eee ee cece ee eel 65",ocr_filler
