year,article_title,issue,journal_page,archive_image_url,archive_image_page,section,source_contents_page,needs_review
1995,"PIC и его применение. Д. Ганженко, Е. Кабаков, И: Корни: к зле инь ЗЛО Способ ремонта микрокалькулятора. В",1,1,https://archive.radio.ru/web/img/1995/b.1995-01.001.jpg,1,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.060,
1995,"Контроль настройки высокочастотных резонансных цепей осциллографом. А. Коцаренко „ии иииинтинюнниииа 9 Генератор СВЧ, В. ЖУК: 1:. а лиан VO Приставка к осциллографу для наблюдения АЧХ",1,1,https://archive.radio.ru/web/img/1995/b.1995-01.001.jpg,1,ИЗМЕРЕНИЯ,b.1995-12.061,
1995,"Молуль ""кадр в кадре” на микросхемах",1,1,https://archive.radio.ru/web/img/1995/b.1995-01.001.jpg,1,ВИДЕОТЕХНИКА,b.1995-12.060,
1995,Приставка ктелефону с АОН. О. Голубев,1,1,https://archive.radio.ru/web/img/1995/b.1995-01.001.jpg,1,ЛИЧНАЯ РАДИОСВЯЗЬ,b.1995-12.060,
1995,Простой автосторож. В. Милкин лилии,1,1,https://archive.radio.ru/web/img/1995/b.1995-01.001.jpg,1,ЭЛЕКТРОНИКА ЗА РУЛЕМ,b.1995-12.060,
1995,Автомат-эконом электрознергии. И. Нечаев,1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.060,
1995,Блок помехозащиты. А. ТряфФонов „ое ииитииисиииньлиненинние 10 Об индикаторе разрядки аккумуляторной батареи. О Не И Применение звукоизлучателя ЗП-1. И,1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,РАДИОЛЮБИТЕЛЮ-КОНСТРУКТОРУ,b.1995-12.059,
1995,"Динамический фильтр в “Bere MN-122C"", А",1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.061,
1995,Мелодия эвучит до конца. С. Маслов шлииинитиннии,1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.061,
1995,"Новая версия толефона “PHONE MASTER’. Е. Белевцев, И. КоршуН олени инь нининииьниниь",1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЛИЧНАЯ РАДИОСВЯЗЬ,b.1995-12.060,
1995,"Отвоты на вопросы по статье Гвоздицкого Г. ""Громкоговорящая приставка к телефонному аппарату” “Радио",1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЛИЧНАЯ РАДИОСВЯЗЬ,b.1995-12.060,
1995,"Перезапись в магнитофоне ""Вега",1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.061,
1995,Управление лампами люстры по двум проводам. Регулятор яркости светильника с плавным включением. ИН не Программатор интервалов времени. А. Ануфриев,1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.060,
1995,Цифровой измеритель емкости. С. Вирюков,1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ИЗМЕРЕНИЯ,b.1995-12.061,
1995,ЭЛЕКТРОННЫЕ МУЗЫКАЛЬНЫЕ ИНСТРУМЕНТЫ Простые ЭМИ-В: Завьялов еее она 3 Добиваясь приятного звучания. А. Васильев,1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.061,
1995,Электромузыкальный звонок-автомат,1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.061,
1995,"в усилителях ЗЧ. Радио, 1994, № 12. с",1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.061,
1995,"по следам наших публикаций), Г. Корасев линии",1,2,https://archive.radio.ru/web/img/1995/b.1995-01.002.jpg,2,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.061,
1995,„На микросхеме К176ИЕ12. А. Москвин лишили» 7 Термостабилизатор на микросхеме К561ЛП,1,3,https://archive.radio.ru/web/img/1995/b.1995-01.003.jpg,3,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.060,
1995,"Схемотехника усилителей мощности звуковой частоты высокой верности, М.Корзиницн «лилии илиильиинеиинини: ТТ Е Фильтры высококачественного громкоговорителя. допанкратьевыт и а М",1,4,https://archive.radio.ru/web/img/1995/b.1995-01.004.jpg,4,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.061,
1995,ПОЗЕ нот рад о,1,6,https://archive.radio.ru/web/img/1995/b.1995-01.006.jpg,6,РАДИОЛЮБИТЕЛЮ-КОНСТРУКТОРУ,b.1995-12.059,
1995,Динамический псовдостереопреобразователь. ПАНК а о лени,1,7,https://archive.radio.ru/web/img/1995/b.1995-01.007.jpg,7,ЗВУКОТЕХНИКА,b.1995-12.061,
1995,Первый коротковолновик России. Н. Казанский ние,1,7,https://archive.radio.ru/web/img/1995/b.1995-01.007.jpg,7,И СВЕРШЕНИЯ ТЕХНИКА НАШИХ ДНЕЙ,b.1995-12.059,
1995,"Фиксированная настройка в приемниках ""ВЭФ"". Пров ани",1,8,https://archive.radio.ru/web/img/1995/b.1995-01.008.jpg,8,РАДИОПРИЕМ,b.1995-12.061,
1995,Яркий пример для радиолюбителей. (К 80-летию со дня рождения И. Т. Акулиничева) «иен ииинень или шишильнние: Й,1,8,https://archive.radio.ru/web/img/1995/b.1995-01.008.jpg,8,И СВЕРШЕНИЯ ТЕХНИКА НАШИХ ДНЕЙ,b.1995-12.059,
1995,"Гетеродинный УКВ ЧМ приемник с ФАПЧ, В",1,21,https://archive.radio.ru/web/img/1995/b.1995-01.021.jpg,21,РАДИОПРИЕМ,b.1995-12.061,
1995,Федоренко Ю. “Орион,1,28,https://archive.radio.ru/web/img/1995/b.1995-01.028.jpg,28,ВИДЕОТЕХНИКА,b.1995-12.060,
1995,"Автору “Юного радиолюбителя"" GO лет! ель",1,34,https://archive.radio.ru/web/img/1995/b.1995-01.034.jpg,34,И СВЕРШЕНИЯ ТЕХНИКА НАШИХ ДНЕЙ,b.1995-12.059,
1995,"PADMO AGS Gi ОАО, СЧ. иль ьнаен Дли WO. Трехполосный громкоговоритель. радио, WIOGOSN З оС БВ. алии 8 Яковлев Г. Применение микросхем серии",1,74,https://archive.radio.ru/web/img/1995/b.1995-01.074.jpg,74,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.061,
1995,Только ли рыночными отношениями жив радиорынок? ЮЗВиНограДеД:. ао аь,2,1,https://archive.radio.ru/web/img/1995/b.1995-02.001.jpg,1,И СВЕРШЕНИЯ ТЕХНИКА НАШИХ ДНЕЙ,b.1995-12.059,
1995,"Ремонт автомобильного приемника ""Былина-207-10°. СЕ Ц, ро ОВ АНН",2,2,https://archive.radio.ru/web/img/1995/b.1995-02.002.jpg,2,РАДИОПРИЕМ,b.1995-12.061,
1995,Малогабаритные цифровые мультиметры. А. Афонский,2,3,https://archive.radio.ru/web/img/1995/b.1995-02.003.jpg,3,СОВЕТЫ ПОКУПАТЕЛЯМ,b.1995-12.059,
1995,Устройство для прослушивания магнитных фонограмм. ры,2,3,https://archive.radio.ru/web/img/1995/b.1995-02.003.jpg,3,РАДИОПРИЕМ,b.1995-12.061,
1995,"Радио, 1992, № 9, с. 44-47: № 12,с.25",2,9,https://archive.radio.ru/web/img/1995/b.1995-02.009.jpg,9,ЭЛЕКТРОНИКА В БЫТУ,b.1995-12.061,
1995,"УМЗЧ для активной акустической системы и испытаний. И: АКУЛИНИЧОВ ое. о борона 20 Акустическая система ""VERNA 50-02"". А",2,11,https://archive.radio.ru/web/img/1995/b.1995-02.011.jpg,11,ЗВУКОТЕХНИКА,b.1995-12.061,
1995,Обзор наших публикаций. Акустика,2,12,https://archive.radio.ru/web/img/1995/b.1995-02.012.jpg,12,ЗВУКОТЕХНИКА,b.1995-12.061,
1995,Приомник прямого усиления. Б. Ленкавский еьениниь,2,14,https://archive.radio.ru/web/img/1995/b.1995-02.014.jpg,14,РАДИОПРИЕМ,b.1995-12.061,
1995,"Ремонт электрофона ""Сонет 208С-2""",2,31,https://archive.radio.ru/web/img/1995/b.1995-02.031.jpg,31,ЗВУКОТЕХНИКА,b.1995-12.061,
1995,Подключение ПК к телевизорам “Wunanuc’. Подключение ПК к телевизорам УЛПЦТ(И)-59/61-1. ВИД руцевы и ete,2,36,https://archive.radio.ru/web/img/1995/b.1995-02.036.jpg,36,ЛИЧНАЯ РАДИОСВЯЗЬ,b.1995-12.060,
